ID,2020 Food Sales,2020 FS Adjust,2021 Food Sales,2021 FS Adjust,2020 Total Sales,2020 TS Adjust,2021 Total Sales,2021 TS Adjust,2020 FS divided by TS,2021 FS divided by TS,BrandLogos,Comments,Company GHG Name,Company Foreign,DateEndFinancial2020,DateEndFinancial2021,DateEnd10k,DateEndGhg,Exclusions,ExclusionsText,GhgPermaLink,GhgReportArea,GhgReportName,GhgReportNotes,GhgReportUrl,LogoDownCo,NameChangeToParent,Parent,Public,Rank,RankIndustry,RankRevenues,RealZero,RevenuesArea,RevenuesGhgCo,S&P500,SasbIndustry,SasbIndustryShort,Scope1Emit,Scope2EmitLocation,Scope2EmitMarket,Scope2EmitUndifferentiated,Scope2Total,Scope1+2Reported,Scope1+2Total,Scope1+2Undiff,Scope1+2/Revenues,Subsidiary,Website,YearGhgData,YearRevenuesData,brands
1,43490,,47635,,70372,,79474,,0.618001478,0.599378413,y,,"PepsiCo, Inc.",no,12/31/2020,12/31/2021,12/25/2021,12/31/2022,no,,,,CDP Report,,,yes,,_none,yes,,,,,,86392,,Non-Alcoholic Beverages,,3481530,1834309,750058,,750058,yes,4231588,,48.98124826,,www.pepsico.com#http://www.pepsico.com#,2022,,69
2,41329,,45059,,43185,,47049,,0.957022114,0.957703671,y,,Tyson Foods Inc.,no,10/1/2020,10/2/2021,10/1/2021,10/1/2022,no,,,worldwide,Sustainability Report,,,yes,,_none,yes,,,,,worldwide,53282,,"Meat, Poultry & Dairy",,3560000,,,2200000,2200000,yes,5760000,,108.1040501,,www.tysonfoods.com#http://www.tysonfoods.com#,2022,,38
3,27925,,33678,,51948,,62925,parent,0.537556788,0.535208582,y,table notes Revenue is for ulitmate parent JBS S.A.; parent's emissions entered; N.A. Emissions available; unable to confirm N.A. revenue,JBS USA,yes,12/31/2020,12/31/2021,,12/31/2022,no,,,worldwide,Sustainability Report,,,yes,yes,"JBS USA Holdings, Inc. (subsidiary of JBS S.A.)",yes,,,,,worldwide,374900,,"Meat, Poultry & Dairy",,4045137,1605115,1513548,,1513548,yes,5558685,,14.8271139,JBS USA,"www.jbssa.com#http://	www.jbssa.com#",2022,,74
4,30017,,31307,,89982,,95212,,0.33358894,0.328813595,y,"Labeled ""U.S. & Canada"" in Processed Foods table but revenue numbers are for parent ""Nestlé S.A.""",Nestle,yes,12/31/2020,12/31/2021,,12/31/2023,no,,,worldwide,Assurance Statement,,,yes,,_none,yes,,,,,worldwide,105520,,Processed Foods,,3160000,,310000,,310000,yes,3470000,,32.88476118,,www.nestle.com#http://www.nestle.com/#,2023,,126
5,20844,,20351,,26185,,26042,,0.79602826,0.781468397,y,,Kraft Heinz,no,12/31/2020,12/31/2021,12/25/2021,12/31/2022,no,,,,ESG Report,,,yes,,_none,yes,,,,,,26042,yes,Processed Foods,,501786,,457547,,457547,yes,959333,,36.83791567,,www.kraftheinzcompany.com#http://www.kraftheinzcompany.com#,2022,,58
6,15622,,16257,,46881,,54304,,0.33322668,0.299370212,y,,Anheuser-Busch InBev,yes,12/31/2020,12/31/2021,,12/31/2021,no,,,,ESG Report,,,yes,,_none,yes,,,,,,57800,,Alcoholic Beverages,,,,,,,yes,3680000,3680000,63.66782007,,"www.ab-inbev.com#http://	www.ab-inbev.com#",2022,,44
7,15600,,16000,estimated,16100,,16000,estimated,0.968944099,1,y,Revenue and Emissions are for named company,"Smithfield Foods, Inc.",no,12/31/2020,12/31/2021,,12/31/2022,no,,,,Sustainability Report,,,yes,no,WH Group Limited,no,,,,,,19100,,"Meat, Poultry & Dairy",,2957489,,,986769,986769,yes,3944258,,206.5056545,,www.smithfieldfoods.com#http://www.smithfieldfoods.com#,2022,,32
8,14470,carryover,15677,,18127,,18993,,0.798256744,0.825409361,y,,General Mills,no,5/31/2021,5/31/2022,5/29/2022,5/28/2023,no,,,,Responsibility Report,2020 data only as of 11/23/2022,,yes,,_none,yes,,,,,,18993,yes,Processed Foods,,335600,,20700,,20700,yes,356300,,18.75954299,,www.generalmills.com#http://www.generalmills.com#,2022,,75
9,11456,,13190,,33014,,38655,,0.347004301,0.341223645,y,,Coca-Cola Company,no,12/31/2020,12/31/2021,12/31/2021,12/31/2022,yes,"CO2 loss during production and AC/Chilleremissions; Fleet emissions; Indirect emissions from stationary fuel consumption at standalone (i.e., not co-located) warehouses, distribution centers and ofices",,,Sustainability,,,yes,,_none,yes,,,,,,43000,,Non-Alcoholic Beverages,,555510,869832,815908,,815908,yes,1371418,,31.89344186,,www.coca-colacompany.com#http://www.coca-colacompany.com#,2021,,35
10,12000,estimated,12500,estimated,37000,estimated,45000,,0.324324324,0.277777778,y,,"Mars, Incorporated",no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/23/2022,no 2020 data,,yes,,_none,no,,,,,,40000,,Processed Foods,,,,,,,,,,,,www.mars.com#http://www.mars.com#,,,33
